time,axial,temp,agl
36.2513,-0.21,67.32,1365.34
36.2525,-0.21,67.32,1365.34
36.2537,-0.13,67.32,1365.34
36.255,-0.13,67.32,1365.34
36.2562,-0.13,67.32,1365.34
36.2575,-0.13,67.32,1365.34
36.2588,-0.13,67.32,1365.34
36.26,-0.13,67.32,1365.34
36.2612,-0.21,67.32,1365.34
36.2625,-0.21,67.32,1365.34
36.2637,-0.21,67.32,1365.34
36.265,-0.21,67.32,1365.34
36.2663,-0.13,67.32,1365.34
36.2675,-0.13,67.32,1365.34
36.2687,-0.21,67.32,1365.34
36.27,-0.21,67.32,1365.34
36.2713,-0.13,67.32,1365.34
36.2725,-0.13,67.32,1365.34
36.2738,-0.0400001,67.32,1365.34
36.275,-0.0400001,67.32,1365.34
36.2762,-0.21,67.32,1365.34
36.2775,-0.21,67.32,1365.34
36.2788,-0.21,67.32,1365.34
36.28,-0.21,67.32,1365.34
36.2813,-0.21,67.32,1365.34
36.2825,-0.21,67.32,1365.34
36.2837,-0.21,67.32,1365.34
36.285,-0.21,67.32,1365.34
36.2863,-0.13,67.32,1365.34
36.2875,-0.13,67.32,1365.34
36.2887,-0.3,67.32,1365.34
36.29,-0.3,67.32,1365.34
36.2912,-0.21,67.32,1365.34
36.2925,-0.21,67.32,1365.34
36.2938,-0.21,67.32,1365.34
36.295,-0.21,67.32,1361.79
36.2962,-0.0400001,67.32,1361.79
36.2975,-0.0400001,67.32,1361.79
36.2988,-0.21,67.32,1361.79
36.3,-0.21,67.32,1361.79
36.3013,-0.13,67.32,1361.79
36.3013,-0.13,67.32,1361.79
36.3013,-0.13,67.32,1361.79
36.3025,-0.13,67.32,1361.79
36.3037,-0.13,67.32,1361.79
36.305,-0.13,67.32,1361.79
36.3063,-0.21,67.32,1361.79
36.3075,-0.21,67.32,1361.79
36.3088,-0.13,67.32,1361.79
36.31,-0.13,67.32,1361.79
36.3112,-0.21,67.32,1361.79
36.3125,-0.21,67.32,1361.79
36.3138,-0.21,67.32,1361.79
36.315,-0.21,67.32,1361.79
36.3162,-0.0400001,67.32,1361.79
36.3175,-0.0400001,67.32,1361.79
36.3187,-0.13,67.32,1361.79
36.32,-0.13,67.32,1361.79
36.3213,-0.13,67.32,1361.79
36.3225,-0.13,67.32,1361.79
36.3237,-0.21,67.32,1361.79
36.325,-0.21,67.32,1361.79
36.3262,-0.21,67.32,1361.79
36.3275,-0.21,67.32,1361.79
36.3288,-0.21,67.32,1361.79
36.33,-0.21,67.32,1361.79
36.3312,-0.21,67.32,1361.79
36.3325,-0.21,67.32,1361.79
36.3338,-0.21,67.32,1361.79
36.335,-0.21,67.32,1361.79
36.3363,-0.13,67.32,1361.79
36.3375,-0.13,67.32,1361.79
36.3387,-0.21,67.32,1361.79
36.34,-0.21,67.29,1361.79
36.3413,-0.21,67.29,1361.79
36.3425,-0.21,67.29,1361.79
36.3438,-0.21,67.29,1361.79
36.345,-0.21,67.29,1358.24
36.3462,-0.21,67.29,1358.24
36.3475,-0.21,67.29,1358.24
36.3488,-0.0400001,67.29,1358.24
36.35,-0.0400001,67.29,1358.24
36.3512,-0.21,67.29,1358.24
36.3512,-0.21,67.29,1358.24
36.3512,-0.21,67.29,1358.24
36.3525,-0.21,67.29,1358.24
36.3537,-0.21,67.29,1358.24
36.355,-0.21,67.29,1358.24
36.3563,-0.3,67.29,1358.24
36.3575,-0.3,67.29,1358.24
36.3587,-0.21,67.29,1358.24
36.36,-0.21,67.29,1358.24
