axialtime,axialaccel,bILBA,timptime,temp,bILBA,agltime,agl,bILBA
0.56625,16.12,b1100,11.34,66.72,b1110,11.345,2694.79,b1110
0.56875,16.21,b1100,11.39,66.75,b1110,11.395,2697.25,b1110
0.57125,16.29,b1100,11.44,66.72,b1110,11.445,2699.71,b1110
0.57375,16.12,b1100,11.49,66.75,b1110,11.495,2702.16,b1110
0.57625,16.21,b1100,11.54,66.72,b1110,11.545,2704.63,b1110
0.57875,16.12,b1100,11.59,66.75,b1110,11.595,2708.32,b1110
0.58125,16.21,b1100,11.64,66.75,b1110,11.645,2710.78,b1110
0.58375,16.21,b1100,11.69,66.75,b1110,11.695,2713.23,b1110
0.58625,16.21,b1100,11.74,66.75,b1110,11.745,2715.7,b1110
0.58875,16.04,b1100,11.79,66.78,b1110,11.795,2718.16,b1110
0.59125,16.04,b1100,11.84,66.75,b1110,11.845,2719.39,b1110
0.59375,15.95,b1100,11.89,66.75,b1110,11.895,2723.08,b1110
0.59625,16.04,b1100,11.94,66.75,b1110,11.945,2724.31,b1110
0.59875,16.04,b1100,11.99,66.78,b1110,11.995,2725.54,b1110
0.60125,15.95,b1100,12.04,66.75,b1110,12.045,2728.01,b1110
0.60375,15.87,b1100,12.09,66.78,b1110,12.095,2730.47,b1110
0.60625,16.04,b1100,12.14,66.78,b1110,12.145,2731.7,b1110
0.60875,16.04,b1100,12.19,66.78,b1110,12.195,2734.16,b1110
0.61125,16.04,b1100,12.24,66.78,b1110,12.245,2735.39,b1110
0.61375,16.04,b1100,12.29,66.78,b1110,12.295,2737.85,b1110
0.61625,16.04,b1100,12.34,66.78,b1110,12.345,2737.85,b1110
0.61875,15.79,b1100,12.39,66.78,b1110,12.395,2739.09,b1110
0.62125,15.95,b1100,12.44,66.78,b1110,12.445,2740.32,b1110
0.62375,15.87,b1100,12.49,66.78,b1110,12.495,2741.55,b1110
0.62625,15.95,b1100,12.54,66.81,b1110,12.545,2742.78,b1110
0.62875,15.87,b1100,12.59,66.78,b1110,12.595,2744.01,b1110
0.63125,15.87,b1100,12.64,66.81,b1110,12.645,2745.24,b1110
0.63375,15.79,b1100,12.69,66.78,b1110,12.695,2745.24,b1110
0.63625,15.87,b1100,12.74,66.81,b1110,12.745,2746.47,b1110
0.63875,15.87,b1100,12.79,66.81,b1110,12.795,2746.47,b1110
0.64125,15.87,b1100,12.84,66.81,b1110,12.845,2747.7,b1110
0.64375,15.7,b1100,12.89,66.81,b1110,12.895,2747.7,b1110
0.64625,15.62,b1100,12.94,66.81,b1110,12.945,2747.7,b1110
